isbn_livro,email_membro,data_emprestimo,data_devolucao_prevista,data_devolucao_real,status
978-85-3012-103-8,ana.paula.ferreira@email.com,2024-01-10,2024-01-24,2024-01-23,devolvido
978-85-3012-106-9,bruno.cardoso@email.com,2024-02-05,2024-02-19,2024-02-18,devolvido
978-85-3012-109-0,carla.m.rocha@email.com,2024-03-12,2024-03-26,2024-03-25,devolvido
978-85-3012-112-1,daniel.s.alves@email.com,2024-04-08,2024-04-22,2024-04-21,devolvido
978-85-3012-115-2,elisa.m.costa@email.com,2024-05-15,2024-05-29,2024-05-28,devolvido
978-85-3012-118-3,felipe.r.dias@email.com,2024-06-20,2024-07-04,2024-07-03,devolvido
978-85-3012-101-4,gabi.n.teixeira@email.com,2024-07-25,2024-08-08,2024-08-07,devolvido
978-85-3012-104-5,henrique.l.vieira@email.com,2024-08-30,2024-09-13,2024-09-12,devolvido
978-85-3012-107-6,isabela.d.ramos@email.com,2024-09-18,2024-10-02,2024-10-01,devolvido
978-85-3012-110-7,joao.p.batista@email.com,2024-10-22,2024-11-05,2024-11-04,devolvido
978-85-3012-102-1,karina.o.santos@email.com,2024-03-01,2024-03-15,2024-03-18,devolvido
978-85-3012-111-4,lucas.h.moura@email.com,2024-04-10,2024-04-24,2024-05-02,devolvido
978-85-3012-113-8,mariana.c.freitas@email.com,2024-05-05,2024-05-19,2024-05-28,devolvido
978-85-3012-116-9,nicolas.a.pinto@email.com,2024-06-12,2024-06-26,2024-07-05,devolvido
978-85-3012-119-0,olivia.r.monteiro@email.com,2024-07-08,2024-07-22,2024-07-30,devolvido
978-85-3012-108-3,ana.paula.ferreira@email.com,2025-01-02,2025-01-16,,atrasado
978-85-3012-114-5,bruno.cardoso@email.com,2025-02-05,2025-02-19,,atrasado
978-85-3012-117-6,carla.m.rocha@email.com,2025-03-01,2025-03-15,,atrasado
978-85-3012-120-7,daniel.s.alves@email.com,2025-03-20,2025-04-03,,atrasado
978-85-3012-105-2,elisa.m.costa@email.com,2025-04-10,2025-04-24,,atrasado
978-85-3012-103-8,felipe.r.dias@email.com,2025-06-02,2025-06-16,,ativo
978-85-3012-106-9,gabi.n.teixeira@email.com,2025-06-05,2025-06-19,,ativo
978-85-3012-109-0,henrique.l.vieira@email.com,2025-06-10,2025-06-24,,ativo
978-85-3012-112-1,isabela.d.ramos@email.com,2025-06-15,2025-06-29,,ativo
978-85-3012-115-2,joao.p.batista@email.com,2025-06-20,2025-07-04,,ativo
978-85-3012-118-3,karina.o.santos@email.com,2025-07-01,2025-07-15,,ativo
978-85-3012-101-4,lucas.h.moura@email.com,2025-07-08,2025-07-22,,ativo
978-85-3012-104-5,mariana.c.freitas@email.com,2025-07-15,2025-07-29,,ativo
978-85-3012-107-6,nicolas.a.pinto@email.com,2025-07-22,2025-08-05,,ativo
978-85-3012-110-7,olivia.r.monteiro@email.com,2025-07-28,2025-08-11,,ativo
